Nom,Categorie,Nutriscore,Novascore,Ecoscore,Taux de sel (100g),Taux de matieres grasses (100g),Taux de matieres grasses saturees (100g),Taux de proteine (100g),Taux de sucre (100g),Energie (Kcal) (100g)
Crottin frais,en:dairies,d,en:3-processed-foods,8,1.1,22.9,15.9,15,2.7,282
Crottin frais aromatisé,en:dairies,unknown,en:3-processed-foods,14,N/A,N/A,N/A,N/A,N/A,N/A
Le Frais Crottin,en:dairies,c,en:3-processed-foods,14,0.42,11,7.8,10,2.2,149
Crottin chèvre frais,en:dairies,d,en:3-processed-foods,7,1.1,22.9,15.9,15,2.7,282
Crottin frais,en:dairies,d,en:3-processed-foods,7,1.1,22.9,15.9,15,2.7,282
"Fermentiertes Sojaprodukt, Ungesüßt",en:plant-based-foods-and-beverages,a,en:4-ultra-processed-food-and-drink-products,81,0.24,2.3,0.4,4,0,42
Creme d’Avoine,en:plant-based-foods-and-beverages,b,unknown,N/A,0.13,7.2,0.9,0.5,0.8,98
Bio drink rice coconut,en:plant-based-foods-and-beverages,b,unknown,N/A,0.08,1.8,1.6,0.5,4.6,70
Pâte à la vanille,en:plant-based-foods-and-beverages,not-applicable,en:4-ultra-processed-food-and-drink-products,N/A,N/A,0.5,0.1,0.5,55,227
Huile Isio 4 Olive,en:plant-based-foods-and-beverages,c,en:2-processed-culinary-ingredients,47,0,100,9.8,0,0,900
Bulgur Pilaf,en:meals,a,en:4-ultra-processed-food-and-drink-products,N/A,0.89,6.5,1,3.8,9,150
Ice tea pêssego,en:beverages-and-beverages-preparations,not-applicable,en:4-ultra-processed-food-and-drink-products,94,0.053,0.5,0.5,0.5,4.5,19
Compote pommes,en:plant-based-foods-and-beverages,a,en:3-processed-foods,76,0,0,0,0,14,70
SUN YAN,en:plant-based-foods-and-beverages,unknown,en:4-ultra-processed-food-and-drink-products,52,0.77,4.3,2.1,1.9,1,93
Poudre de noisette,en:plant-based-foods-and-beverages,c,unknown,16,0,57,5.6,16,6.5,633
POUDRE DE NOISette,en:plant-based-foods-and-beverages,unknown,unknown,16,N/A,N/A,N/A,N/A,N/A,N/A
Haselnüsse gemahlen,en:plant-based-foods-and-beverages,a,unknown,16,0,62,4.5,12,1,667
Poudre noisette bio,en:plant-based-foods-and-beverages,c,unknown,36,0.002,63.5,4.5,12.8,5,674
Poudre De Noisettes Grillées,en:plant-based-foods-and-beverages,c,en:1-unprocessed-or-minimally-processed-foods,41,0.0099999997764826,67,7.0999999046326,11.699999809265,2.7000000476837,704
NOISETTES DE MEDITERRANEEEN POUDRE,en:plant-based-foods-and-beverages,a,en:1-unprocessed-or-minimally-processed-foods,21,0.01,57,4.7,17,4.9,632
Noisettes En Poudre,en:plant-based-foods-and-beverages,b,unknown,16,0.1,53,4.1,19,6.1,617
Velouté de Tomates,en:plant-based-foods-and-beverages,b,en:3-processed-foods,112,0.65,1,0,0.5,3,35
"Boulgour, Quinoa et Sésame",en:plant-based-foods-and-beverages,a,unknown,95,0.8,5.3,0.7,6.1,0.5,180
Confiture abricots,en:plant-based-foods-and-beverages,d,en:4-ultra-processed-food-and-drink-products,90,0,0.1,0,0.1,55.3,242.8
Le Fouetté de Beurre Demi-Sel,fr:beurre-a-tartiner,e,en:2-processed-culinary-ingredients,51,1.2,63,37,1.1,2.1,580
flocons d'avoine complète,fr:flocons-d-avoine-complete,a,en:1-unprocessed-or-minimally-processed-foods,62,0.08,6.8,1.3,13,0.9,376
Quinoa lentilles,fr:cereales-preparees,a,en:3-processed-foods,N/A,0.46,2.4,0.5,5.5,0.6,139
Quinoa champignons potiron,en:plant-based-foods-and-beverages,a,en:3-processed-foods,N/A,0.6,4.1,0.5,4.1,2,116
Crème de coco légère,en:plant-based-foods-and-beverages,c,en:4-ultra-processed-food-and-drink-products,111,0.08,16,15,1.2,1.6,174
Purée cacahuète crunchy,en:plant-based-foods-and-beverages,d,unknown,50,0.44,52,9.5,27,4.4,640
Corsica’Tapas,en:snacks,d,en:3-processed-foods,68,2.6,34,5,2.1,0.5,324
Charms fluffy stuff north pole cotton candy,en:snacks,unknown,en:4-ultra-processed-food-and-drink-products,N/A,0,0,0,0,100,N/A
La belle équitable - 100% Cacao noir,en:snacks,d,en:3-processed-foods,N/A,0.0102,52.5,33.1,12.1,0.3,587
bean to bar,en:snacks,e,unknown,35,0,37,23,8,31,532
Tortilla Nachips Original,en:snacks,b,en:3-processed-foods,72,0.49,23.6,2.2,7.8,0.5,492
Klet's hierbabuena,en:snacks,b,unknown,42,0,0,0,0,0,161
Cerealyo,en:snacks,c,unknown,50,0.56,14,3,7.1,25,450
Brownies,en:snacks,e,unknown,24,0.41,25.2,7.65,6.1,33,N/A
Chocolat,en:snacks,e,unknown,56,0,34,21,6.7,39,533
Cracker con riso soffiato,en:snacks,c,unknown,67,1.5,8.2,0.9,10,2.2,423
